lap,position,seconds,drivername
1,1.0,77.665,Max Verstappen
2,1.0,74.978,Max Verstappen
3,1.0,74.813,Max Verstappen
4,1.0,74.917,Max Verstappen
5,1.0,74.882,Max Verstappen
6,1.0,74.9,Max Verstappen
7,1.0,75.108,Max Verstappen
8,1.0,75.138,Max Verstappen
9,1.0,75.133,Max Verstappen
10,1.0,75.061,Max Verstappen
11,1.0,75.228,Max Verstappen
12,1.0,74.917,Max Verstappen
13,1.0,75.062,Max Verstappen
14,1.0,75.059,Max Verstappen
15,1.0,75.138,Max Verstappen
16,1.0,75.177,Max Verstappen
17,1.0,75.446,Max Verstappen
18,1.0,75.331,Max Verstappen
19,1.0,75.632,Max Verstappen
20,1.0,75.938,Max Verstappen
21,1.0,78.594,Max Verstappen
22,2.0,92.574,Max Verstappen
23,2.0,74.223,Max Verstappen
24,2.0,74.257,Max Verstappen
25,2.0,74.607,Max Verstappen
26,2.0,75.352,Max Verstappen
27,2.0,74.393,Max Verstappen
28,2.0,74.683,Max Verstappen
29,2.0,75.222,Max Verstappen
30,1.0,76.362,Max Verstappen
31,1.0,75.134,Max Verstappen
32,1.0,74.886,Max Verstappen
33,1.0,74.794,Max Verstappen
34,1.0,74.468,Max Verstappen
35,1.0,75.001,Max Verstappen
36,1.0,74.715,Max Verstappen
37,1.0,74.029,Max Verstappen
38,1.0,74.212,Max Verstappen
39,1.0,73.921,Max Verstappen
40,1.0,76.99,Max Verstappen
41,1.0,91.271,Max Verstappen
42,1.0,73.524,Max Verstappen
43,1.0,73.48,Max Verstappen
44,1.0,74.494,Max Verstappen
45,1.0,73.832,Max Verstappen
46,1.0,73.925,Max Verstappen
47,1.0,73.676,Max Verstappen
48,1.0,73.706,Max Verstappen
49,1.0,73.67,Max Verstappen
50,1.0,73.445,Max Verstappen
51,1.0,73.705,Max Verstappen
52,1.0,73.999,Max Verstappen
53,1.0,73.725,Max Verstappen
54,1.0,74.496,Max Verstappen
55,1.0,74.865,Max Verstappen
56,1.0,73.765,Max Verstappen
57,1.0,73.466,Max Verstappen
58,1.0,73.716,Max Verstappen
59,1.0,73.631,Max Verstappen
60,1.0,73.275,Max Verstappen
61,1.0,73.392,Max Verstappen
62,1.0,73.687,Max Verstappen
63,1.0,73.891,Max Verstappen
64,1.0,73.916,Max Verstappen
65,1.0,73.608,Max Verstappen
66,1.0,73.539,Max Verstappen
67,1.0,74.698,Max Verstappen
68,1.0,74.475,Max Verstappen
69,1.0,74.23,Max Verstappen
70,1.0,73.547,Max Verstappen
