lap,position,seconds,nationality,drivername,name,time_gap
1,1,77.665,Dutch,Max Verstappen,Dutch Grand Prix,19594.0
2,1,74.978,Dutch,Max Verstappen,Dutch Grand Prix,5314.0
3,1,74.813,Dutch,Max Verstappen,Dutch Grand Prix,5712.0
4,1,74.917,Dutch,Max Verstappen,Dutch Grand Prix,10462.0
5,1,74.882,Dutch,Max Verstappen,Dutch Grand Prix,37915.0
6,1,74.9,Dutch,Max Verstappen,Dutch Grand Prix,4462.0
7,1,75.108,Dutch,Max Verstappen,Dutch Grand Prix,5659.0
8,1,75.138,Dutch,Max Verstappen,Dutch Grand Prix,6463.0
9,1,75.133,Dutch,Max Verstappen,Dutch Grand Prix,18749.0
10,1,75.061,Dutch,Max Verstappen,Dutch Grand Prix,7195.0
11,1,75.228,Dutch,Max Verstappen,Dutch Grand Prix,19177.0
12,1,74.917,Dutch,Max Verstappen,Dutch Grand Prix,3635.0
13,1,75.062,Dutch,Max Verstappen,Dutch Grand Prix,4878.0
14,1,75.059,Dutch,Max Verstappen,Dutch Grand Prix,5709.0
15,1,75.138,Dutch,Max Verstappen,Dutch Grand Prix,3986.0
16,1,75.177,Dutch,Max Verstappen,Dutch Grand Prix,5421.0
17,1,75.446,Dutch,Max Verstappen,Dutch Grand Prix,3059.0
18,1,75.331,Dutch,Max Verstappen,Dutch Grand Prix,3055.0
19,1,75.632,Dutch,Max Verstappen,Dutch Grand Prix,3567.0
20,1,75.938,Dutch,Max Verstappen,Dutch Grand Prix,3871.0
21,1,78.594,Dutch,Max Verstappen,Dutch Grand Prix,17053.0
22,2,92.574,Dutch,Max Verstappen,Dutch Grand Prix,18817.0
23,2,74.223,Dutch,Max Verstappen,Dutch Grand Prix,6403.0
24,2,74.257,Dutch,Max Verstappen,Dutch Grand Prix,21196.0
25,2,74.607,Dutch,Max Verstappen,Dutch Grand Prix,18776.0
26,2,75.352,Dutch,Max Verstappen,Dutch Grand Prix,5540.0
27,2,74.393,Dutch,Max Verstappen,Dutch Grand Prix,6049.0
28,2,74.683,Dutch,Max Verstappen,Dutch Grand Prix,20189.0
29,2,75.222,Dutch,Max Verstappen,Dutch Grand Prix,2608.0
30,1,76.362,Dutch,Max Verstappen,Dutch Grand Prix,9775.0
31,1,75.134,Dutch,Max Verstappen,Dutch Grand Prix,26792.0
32,1,74.886,Dutch,Max Verstappen,Dutch Grand Prix,20936.0
33,1,74.794,Dutch,Max Verstappen,Dutch Grand Prix,6748.0
34,1,74.468,Dutch,Max Verstappen,Dutch Grand Prix,22496.0
35,1,75.001,Dutch,Max Verstappen,Dutch Grand Prix,20638.0
36,1,74.715,Dutch,Max Verstappen,Dutch Grand Prix,10396.0
37,1,74.029,Dutch,Max Verstappen,Dutch Grand Prix,5415.0
38,1,74.212,Dutch,Max Verstappen,Dutch Grand Prix,5416.0
39,1,73.921,Dutch,Max Verstappen,Dutch Grand Prix,5836.0
40,1,76.99,Dutch,Max Verstappen,Dutch Grand Prix,16938.0
41,1,91.271,Dutch,Max Verstappen,Dutch Grand Prix,23057.0
42,1,73.524,Dutch,Max Verstappen,Dutch Grand Prix,6105.0
43,1,73.48,Dutch,Max Verstappen,Dutch Grand Prix,21770.0
44,1,74.494,Dutch,Max Verstappen,Dutch Grand Prix,5833.0
45,1,73.832,Dutch,Max Verstappen,Dutch Grand Prix,19568.0
46,1,73.925,Dutch,Max Verstappen,Dutch Grand Prix,4008.0
