raceId,lap,leaderGap,driverId,drivername
1064,1,1.734,1,Lewis Hamilton
1064,2,0.417,1,Lewis Hamilton
1064,3,0.232,1,Lewis Hamilton
1064,4,0.0,1,Lewis Hamilton
1064,5,0.22,1,Lewis Hamilton
1064,6,0.218,1,Lewis Hamilton
1064,7,0.322,1,Lewis Hamilton
1064,8,0.22,1,Lewis Hamilton
1064,9,0.0,1,Lewis Hamilton
1064,10,0.53,1,Lewis Hamilton
1064,11,0.454,1,Lewis Hamilton
1064,12,0.083,1,Lewis Hamilton
1064,13,0.047,1,Lewis Hamilton
1064,14,0.467,1,Lewis Hamilton
1064,15,0.001,1,Lewis Hamilton
1064,16,0.0,1,Lewis Hamilton
1064,17,0.0,1,Lewis Hamilton
1064,18,0.145,1,Lewis Hamilton
1064,19,0.0,1,Lewis Hamilton
1064,20,3.871,1,Lewis Hamilton
1064,21,17.053,1,Lewis Hamilton
1064,22,0.0,1,Lewis Hamilton
1064,23,0.011,1,Lewis Hamilton
1064,24,0.0,1,Lewis Hamilton
1064,25,0.0,1,Lewis Hamilton
1064,26,0.0,1,Lewis Hamilton
1064,27,0.394,1,Lewis Hamilton
1064,28,0.0,1,Lewis Hamilton
1064,29,0.981,1,Lewis Hamilton
1064,30,0.0,1,Lewis Hamilton
1064,31,0.899,1,Lewis Hamilton
1064,32,0.117,1,Lewis Hamilton
1064,33,0.0,1,Lewis Hamilton
1064,34,0.554,1,Lewis Hamilton
1064,35,0.667,1,Lewis Hamilton
1064,36,0.006,1,Lewis Hamilton
1064,37,0.487,1,Lewis Hamilton
1064,38,0.576,1,Lewis Hamilton
1064,39,3.206,1,Lewis Hamilton
1064,40,16.938,1,Lewis Hamilton
1064,41,0.0,1,Lewis Hamilton
1064,42,0.0,1,Lewis Hamilton
1064,43,0.326,1,Lewis Hamilton
1064,44,0.0,1,Lewis Hamilton
1064,45,0.673,1,Lewis Hamilton
1064,46,0.26,1,Lewis Hamilton
1064,47,0.447,1,Lewis Hamilton
1064,48,0.0,1,Lewis Hamilton
1064,49,0.0,1,Lewis Hamilton
1064,50,0.03,1,Lewis Hamilton
1064,51,0.0,1,Lewis Hamilton
1064,52,0.0,1,Lewis Hamilton
1064,53,0.0,1,Lewis Hamilton
1064,54,0.0,1,Lewis Hamilton
1064,55,1.214,1,Lewis Hamilton
1064,56,0.018,1,Lewis Hamilton
1064,57,0.0,1,Lewis Hamilton
1064,58,0.0,1,Lewis Hamilton
1064,59,1.086,1,Lewis Hamilton
1064,60,0.399,1,Lewis Hamilton
1064,61,1.07,1,Lewis Hamilton
1064,62,0.148,1,Lewis Hamilton
1064,63,0.0,1,Lewis Hamilton
1064,64,0.0,1,Lewis Hamilton
1064,65,0.233,1,Lewis Hamilton
1064,66,0.123,1,Lewis Hamilton
1064,67,0.0,1,Lewis Hamilton
1064,68,0.729,1,Lewis Hamilton
1064,69,1.432,1,Lewis Hamilton
1064,70,2.788,1,Lewis Hamilton
1064,71,18.679,1,Lewis Hamilton
1064,72,0.0,1,Lewis Hamilton
1064,1,6.578,4,Fernando Alonso
1064,2,3.124,4,Fernando Alonso
1064,3,2.719,4,Fernando Alonso
1064,4,2.98,4,Fernando Alonso
1064,5,3.225,4,Fernando Alonso
1064,6,3.055,4,Fernando Alonso
1064,7,2.88,4,Fernando Alonso
1064,8,2.828,4,Fernando Alonso
1064,9,2.995,4,Fernando Alonso
1064,10,3.364,4,Fernando Alonso
1064,11,3.052,4,Fernando Alonso
1064,12,2.523,4,Fernando Alonso
1064,13,2.348,4,Fernando Alonso
1064,14,2.21,4,Fernando Alonso
1064,15,1.621,4,Fernando Alonso
1064,16,1.371,4,Fernando Alonso
1064,17,1.204,4,Fernando Alonso
1064,18,1.275,4,Fernando Alonso
1064,19,0.817,4,Fernando Alonso
1064,20,1.23,4,Fernando Alonso
1064,21,1.062,4,Fernando Alonso
1064,22,2.234,4,Fernando Alonso
1064,23,1.72,4,Fernando Alonso
1064,24,2.02,4,Fernando Alonso
1064,25,2.046,4,Fernando Alonso
1064,26,1.25,4,Fernando Alonso
1064,27,1.997,4,Fernando Alonso
1064,28,3.39,4,Fernando Alonso
1064,29,1.46,4,Fernando Alonso
1064,30,2.514,4,Fernando Alonso
1064,31,1.839,4,Fernando Alonso
1064,32,2.226,4,Fernando Alonso
1064,33,5.377,4,Fernando Alonso
1064,34,20.216,4,Fernando Alonso
1064,35,2.976,4,Fernando Alonso
1064,36,2.833,4,Fernando Alonso
1064,37,1.618,4,Fernando Alonso
1064,38,2.14,4,Fernando Alonso
1064,39,2.109,4,Fernando Alonso
1064,40,0.695,4,Fernando Alonso
1064,41,2.69,4,Fernando Alonso
1064,42,3.168,4,Fernando Alonso
1064,43,2.326,4,Fernando Alonso
1064,44,3.909,4,Fernando Alonso
1064,45,2.982,4,Fernando Alonso
1064,46,1.63,4,Fernando Alonso
1064,47,2.366,4,Fernando Alonso
1064,48,1.936,4,Fernando Alonso
1064,49,2.646,4,Fernando Alonso
1064,50,2.68,4,Fernando Alonso
1064,51,3.43,4,Fernando Alonso
1064,52,1.453,4,Fernando Alonso
1064,53,1.256,4,Fernando Alonso
1064,54,0.842,4,Fernando Alonso
1064,55,0.47,4,Fernando Alonso
1064,56,0.725,4,Fernando Alonso
1064,57,0.874,4,Fernando Alonso
1064,58,1.067,4,Fernando Alonso
1064,59,0.921,4,Fernando Alonso
1064,60,1.048,4,Fernando Alonso
1064,61,1.352,4,Fernando Alonso
1064,62,2.264,4,Fernando Alonso
1064,63,1.899,4,Fernando Alonso
1064,64,2.419,4,Fernando Alonso
1064,65,1.774,4,Fernando Alonso
1064,66,2.671,4,Fernando Alonso
1064,67,2.811,4,Fernando Alonso
1064,68,2.047,4,Fernando Alonso
1064,69,3.428,4,Fernando Alonso
1064,70,2.615,4,Fernando Alonso
1064,71,1.319,4,Fernando Alonso
1064,72,,4,Fernando Alonso
1064,1,11.443,9,Robert Kubica
1064,2,4.651,9,Robert Kubica
1064,3,4.47,9,Robert Kubica
1064,4,3.679,9,Robert Kubica
1064,5,3.529,9,Robert Kubica
1064,6,3.329,9,Robert Kubica
1064,7,3.193,9,Robert Kubica
1064,8,2.894,9,Robert Kubica
1064,9,3.679,9,Robert Kubica
1064,10,3.786,9,Robert Kubica
1064,11,3.763,9,Robert Kubica
1064,12,3.079,9,Robert Kubica
1064,13,2.844,9,Robert Kubica
1064,14,2.862,9,Robert Kubica
1064,15,2.677,9,Robert Kubica
1064,16,2.434,9,Robert Kubica
1064,17,2.5,9,Robert Kubica
1064,18,2.505,9,Robert Kubica
1064,19,2.29,9,Robert Kubica
1064,20,3.547,9,Robert Kubica
1064,21,1.848,9,Robert Kubica
1064,22,3.777,9,Robert Kubica
1064,23,3.618,9,Robert Kubica
1064,24,3.508,9,Robert Kubica
1064,25,3.184,9,Robert Kubica
1064,26,2.102,9,Robert Kubica
1064,27,2.69,9,Robert Kubica
1064,28,2.739,9,Robert Kubica
1064,29,2.234,9,Robert Kubica
1064,30,5.063,9,Robert Kubica
1064,31,5.187,9,Robert Kubica
1064,32,4.464,9,Robert Kubica
1064,33,4.028,9,Robert Kubica
1064,34,3.711,9,Robert Kubica
1064,35,3.399,9,Robert Kubica
1064,36,3.055,9,Robert Kubica
1064,37,4.572,9,Robert Kubica
1064,38,3.959,9,Robert Kubica
1064,39,5.836,9,Robert Kubica
1064,40,6.42,9,Robert Kubica
1064,41,23.057,9,Robert Kubica
1064,42,2.439,9,Robert Kubica
1064,43,2.496,9,Robert Kubica
1064,44,1.764,9,Robert Kubica
1064,45,1.948,9,Robert Kubica
1064,46,2.172,9,Robert Kubica
1064,47,2.153,9,Robert Kubica
1064,48,2.418,9,Robert Kubica
1064,49,2.868,9,Robert Kubica
1064,50,2.4,9,Robert Kubica
1064,51,2.373,9,Robert Kubica
1064,52,2.742,9,Robert Kubica
1064,53,3.823,9,Robert Kubica
1064,54,3.743,9,Robert Kubica
1064,55,3.405,9,Robert Kubica
1064,56,2.154,9,Robert Kubica
1064,57,2.633,9,Robert Kubica
1064,58,2.237,9,Robert Kubica
1064,59,2.383,9,Robert Kubica
1064,60,3.032,9,Robert Kubica
1064,61,2.311,9,Robert Kubica
1064,62,2.071,9,Robert Kubica
1064,63,3.882,9,Robert Kubica
1064,64,3.189,9,Robert Kubica
1064,65,4.168,9,Robert Kubica
1064,66,8.417,9,Robert Kubica
1064,67,6.054,9,Robert Kubica
1064,68,3.955,9,Robert Kubica
1064,69,6.077,9,Robert Kubica
1064,70,4.266,9,Robert Kubica
1064,71,,9,Robert Kubica
1064,72,,9,Robert Kubica
1064,1,10.596,20,Sebastian Vettel
1064,2,4.854,20,Sebastian Vettel
1064,3,3.752,20,Sebastian Vettel
1064,4,3.497,20,Sebastian Vettel
1064,5,3.128,20,Sebastian Vettel
1064,6,3.629,20,Sebastian Vettel
1064,7,2.998,20,Sebastian Vettel
1064,8,2.668,20,Sebastian Vettel
1064,9,4.028,20,Sebastian Vettel
1064,10,7.195,20,Sebastian Vettel
1064,11,19.177,20,Sebastian Vettel
1064,12,1.487,20,Sebastian Vettel
